short_descriptions,assignment_groups
HU  vendor creation issue,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
ECOMEX Q Test Environment Taxes Issue,SD_1stL_SD-UC_NSN_ENG_PH
SOs unmapped in case of SOG empty,SD_1stL_SD-UC_NSN_ENG_PH
Assing users to Processing Teams,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to launch Skype,Deskside Carnegie
open security options greyed out in nokia sap 74,SD_UC_CoCare_NSN_GL
FW Finish resetting your Salesforce password,Service Desk - Sales All
questions about ipass,Service Desk - Non Sales
PL  Access to Active Directory roles,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
account is disabled,SD_UC_CoCare_NSN_GL
My network drive is not connection,Service Desk - Non Sales
TreatNOW eligibility rejected paper form,Service Desk - Sales All
Software Center  Unable to download updates from Software Center,SD_1stL_SD-UC_NSN_ENG_PH
Add licence O365 E3 for new employee Evgeniya Polunina RF128760,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
how to add gerrit groups members through api,SD_UC_CoCare_NSN_GL
RP NSAUNIX Request20200120050022644,GBL-WTI-AHS UNIX L1
A Removal in SAP BPP,SD_UC_CoCare_NSN_GL
O365 Mailbox Spark NZ are unable to send emails to users with nokiacom domain,SD_1stL_SD-UC_NSN_ENG_PH
Jabber Phone Services  Phone  Voice Service Not Working,SD_1stL_SD-UC_NSN_ENG_PH
DP Issue  Backup failure for SERVER15,GBL-WTI-AHS WINTEL L1
amrsoms056pfizercomLogMonitorFlashArchive Failure Escalate and Investigate Issues ASAPunixlogpfizerflasharchive PFEUnixFlashArchiveErrors Solaris Zone Host,GBL-WTI-AHS UNIX L1
Uservikashservesmartservicescom Getting SSO 41 error – Issue facing in Login,SD_1stL_SD-UC_NSN_ENG_PH
Following remote access of the Local Drives the said drives are all  inaccessible when logged in at workplace the following morning,GBL-WTI-AHS WINTEL L1
login to linkedin learning,Service Desk - Non Sales
profile instal failed on new iPad ,Service Desk - Non Sales
Not Loggued in to all Servers  BMC Remedy User,SD_1stL_SD-UC_NSN_ENG_PH
laptop connectivity issue,Service Desk - Non Sales
 Wave 2 S3,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CZ Change email adress,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Have a issue I tried to check my elearn and got locked out,Deskside Carnegie
Assign professional license for Christos Tziortzios,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
How can we change FIORI default language from EN to RO ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Access Issues eLearn Success Factors Portal,Service Desk - Non Sales
WIFI NOSI GUEST and BYOD network doesnt work in basement in autoway building in Seoul,SD_1stL_SD-UC_NSN_ENG_PH
CZ  reset 2FA  MFA,G SNOW EXT ATOS IS MAILING ADMINS
cant access concur ,Service Desk - Non Sales
Proforma IC  swop of unit price and Amo,PZC-FJ-ServiceDesk
Create users for monitoring devices ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Creation of AD group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Office 365  PowerPoint Authors information is not showing up,SD_1stL_SD-UC_NSN_ENG_PH
Adobe download on personal machine,Service Desk - Non Sales
Cant see Alliance Sales Order details,SD_1stL_SD-UC_NSN_ENG_PH
GR  Assign AD Role G SNOW REPORT ADMIN to BSS Team,G SNOW GR SERVICE DESK
Jabber Login  Unable to login ,SD_1stL_SD-UC_NSN_ENG_PH
caiwsus01emeapfizercom cpqFcaHostCntlrStatusChange Intel,GBL-WTI-AHS WINTEL L1
Created by mistake,Service Desk - Non Sales
amrdrms001pfizercomcritical alert on faulty component System A disk erroropscenter PFEOEMOpsCenterAlert Solaris Zone Host,GBL-WTI-AHS UNIX L1
Dp issue Backup failure for GL1GROSPCMS3,GBL-WTI-AHS WINTEL L1
SAP access to 0518 with validity 01032021,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Single Sign ON is not working,Deskside Carnegie
CZ delete incorrectoutdated distribution list CZSK SLT CZSKSLTcchelleniccom,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Outlook no access including Webmail,SD_1stL_SD-UC_NSN_ENG_PH
CH  Please assign outstanding roles in SAP HS2,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
add company email address to RO170341,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BryanHahmotsukauscom  eLearn email address update for Bryan Hahm,Service Desk - GAM
Need to recover personal data off items before leaving company,Service Desk - Non Sales
emaedcs095pfizercom ProcessThe vxrelocd Process has Stopped  Escalate ASAP Unix,GBL-WTI-AHS UNIX L1
Citrix Not Working,Service Desk - Non Sales
Transfer from 4Budget to IBuy does not work,I-Buy Process Support
Your 2 Document had beed received Via Onedrive Sharepoint,Service Desk - Non Sales
Another issue in Module template Creation,SD_1stL_SD-UC_NSN_ENG_PH
Software Center Software related issue  ,SD_1stL_SD-UC_NSN_ENG_PH
usncsa3001pfizercom Down Intel VM Guest,GBL-WTI-AHS WINTEL L1
add users to group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
UNable to present on Screen at CR,Deskside Carnegie
APO DP Planning Area SnapshotParent PCW3EU  is cancelled,PZC-FJ-ServiceDesk
PL  Add users to CIFPolandcchelleniccom,G SNOW PL SERVICE DESK
Sanmina Zscaler connectivity issue,SD_UC_CoCare_NSN_GL
BPC access to new Belarus CFO,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IT Assign AD groups to the user IT003334,G SNOW IT SERVICE DESK
FALUBWP latency Issue ,SD_UC_CoCare_NSN_GL
1st contact SAP Unable to access tcode ME32L A3492987 8000004713  ,PZC-FJ-ServiceDesk
Error in Share point,SD_UC_CoCare_NSN_GL
OneDrive Backup questions,Service Desk - Non Sales
matthew walshcw domain acct disabled due to not logging into the Otsuka network within the last 15 days,Service Desk - Non Sales
Cisco AnyConnect issue,SD_1stL_SD-UC_NSN_ENG_PH
Payment failed for invoices NOV2019AXSATP  NOV2019AXS DEC2019AXSATP  DEC2019AXS,I-Buy Process Support
HP Printing Printer is too noisy while it is printing,SD_1stL_SD-UC_NSN_ENG_PH
Activate user RO907011 ASAP,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Accounts are flashing on salesforce repeatedly ,Service Desk - Sales All
Unable to launch applications,SD_1stL_SD-UC_NSN_ENG_PH
SAP access for user GR014038,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
password reset for new user  KamathCW Sharad Srinivas 37396,Service Desk - Non Sales
 Cannot access shared drive,SD_1stL_SD-UC_NSN_ENG_PH
Cant book travel in Concur,Service Desk - Non Sales
HU  Certificate for 3rd party vendor,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
O365 Incident   Teams apply for a public live event,SD_UC_CoCare_NSN_GL
SAPBPPinvoice image not opening,SD_UC_CoCare_NSN_GL
O365 Mailbox Collaborator unable to access mailbox,SD_UC_CoCare_NSN_GL
password reset help,Service Desk - Non Sales
PLCM Inventory ID prompt already exists,SD_UC_CoCare_NSN_GL
iPad issue with read assist,Service Desk - Non Sales
Laptop screen order issue,Service Desk - Non Sales
unable to access skype for business,Service Desk - GAM
How I can get access to gitlabe2,SD_1stL_SD-UC_NSN_ENG_PH
ausaadwap1075pfizercom MultipleDeviceDown Intel VM Guest,GBL-WTI-AHS WINTEL L1
LAN and NOSI  Not working 150 users affected,SD_1stL_SD-UC_NSN_ENG_PH
Error while opening invoice image,SD_UC_CoCare_NSN_GL
DP Issue THREE STRIKE  Failures for AMER5a  BS amrdrml059 GP 2200Start CT amrndhs277  NO BACKUP,GBL-WTI-AHS UNIX L1
Need Access for Adobe Echosign,Service Desk - Non Sales
install  HPE QC 12553195 Patch 1,SD_1stL_SD-UC_NSN_ENG_PH
Outlook remove focus inbox,Service Desk - Non Sales
skype not working,Service Desk - Non Sales
Routing issue to between partner network and Nokia,SD_UC_CoCare_NSN_GL
FollowUp needed for EMException AMRSOMW882SMARTS CMDB Discovery Error AMRSOMW882 not pingable,GBL-WTI-AHS WINTEL L1
P54400 access for user GR201922,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
df in linux database server is not showing correct free space after files removal,GBL-WTI-AHS UNIX L1
PL E3 lic o365,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
access http106623143601   work from NJoffice network but fail from HZOHN network,SD_UC_CoCare_NSN_GL
Unable to open Excel Docs and PP documents,Service Desk - Non Sales
Orders Not Blocked,PZC-FJ-ServiceDesk
Request for Adobe Acrobat DC,Deskside Carnegie
FRDOBFA7ML  SSDP India Prod Azure to Bharti Niam Connectivity,SD_1stL_SD-UC_NSN_ENG_PH
Account disabled  PatelCW Hirenkumar 16351,Service Desk - Non Sales
Access to SSF,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL  AD user access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Cant log into Teams or OneDrive,Service Desk - Non Sales
Outlook Email  Unable to Access for All users in ChinaNSB,SD_UC_CoCare_NSN_GL
Wipro Chennai  Kolkata Unable to access Cover tool,SD_UC_CoCare_NSN_GL
NG  Create User in Lotus Notes,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
At the user when opening a group  only the folder is displayed Folders provided that she was granted full rights,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Server Need to be rebooted AMRNDHW2698,GBL-WTI-AHS WINTEL L1
GR  SAP Accesses,G SNOW GR SERVICE DESK
BPC Intercompany Fee  Payable error,PZC-FJ-ServiceDesk
CCR  No Tax code for Product 100101159 in NGA5,PZC-FJ-ServiceDesk
OD cannot be created error message related to shipping point RU1A,SD_1stL_SD-UC_NSN_ENG_PH
Headset is not working,Deskside Carnegie
PAM PLANT TRACK AND TRACE SYSTEM PTTS PGS  MCPHERSON PLANT  PRODUCTION AMRMCPW005 CPU monitor is in critical status utilization 97 at 110 AM 121519,GBL-WTI-AHS WINTEL L1
FW Update your Trello account by April 14 2020,Service Desk - Non Sales
CAM010 and CAM011  report Target SLA Day is missing,G SNOW RU SERVICE DESK
Please provide access to user bsx02050,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BPC access of user BS000623,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Forgot verification PIN for eLearn,Service Desk - Non Sales
matlab issue in 2014B,SD_1stL_SD-UC_NSN_ENG_PH
Kindly remove User appadminKedarisettiCW Veera from the AD group,Service Desk - GAM
CZ     aditional access in SAP  P82  created on behalf of INC0911444,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
AD groups for developers,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
DP ISSUE Backup failure for AMRDRMZ027,GBL-WTI-AHS UNIX L1
custom fields with data cannot be deleted,SD_1stL_SD-UC_NSN_ENG_PH
Inquiry about adding PHARM from Radiususer would like Resolved ASAP,Service Desk - Sales All
amrchvw033amerpfizercom MultipleDeviceDown Intel VM Guest,GBL-WTI-AHS WINTEL L1
IT  Email threat subject FwVorrei che tu passassi una giornata memorabile,G SNOW IT SERVICE DESK
RE Access to OPDCCSPV folder on Sdrive,Service Desk - GAM
AZM NA202012004  Shivanth Iyer Sharepoint Link Owner,SD_UC_CoCare_NSN_GL
Printing on the ipad,Service Desk - Non Sales
emaedcs075pfizercom ProcessThe syslogd Process has Stopped  Escalate ASAP Solaris Zone Host,GBL-WTI-AHS UNIX L1
BI REM P3  CSE mismatch between old an,PZC-FJ-ServiceDesk
EE LinSEE belinb31 504 DNS look up failed ,SD_UC_CoCare_NSN_GL
Computer freezing a lot,Service Desk - Non Sales
Payment term for AB document not populat,PZC-FJ-ServiceDesk
Action Required Approve CF943  vendor location  ID not picked in definition page,I-Buy Process Support
RP NSAUNIX Request20200108073423362,GBL-WTI-AHS UNIX L1
SOURISSEAU Daphne wants to access SitePagesNew,Service Desk - Non Sales
Support required for Cronos Issue,SD_1stL_SD-UC_NSN_ENG_PH
Unable to access reports from,Service Desk - Sales All
SAP logon Pad is not responding,SD_UC_CoCare_NSN_GL
Intune Please remove your Windows PC from Intune email concern,SD_1stL_SD-UC_NSN_ENG_PH
Password to Otsuka citrix mailbox ,Service Desk - Non Sales
Without access to BPP,SD_1stL_SD-UC_NSN_ENG_PH
ENHNet  Gross PROMAX Incident  9000009233  IA19451297  ,PZC-FJ-ServiceDesk
MC WebEx Mobile App  Unable to log in to webex mobile app,SD_1stL_SD-UC_NSN_ENG_PH
PL  merge mailboxes HS1,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE GPS  Non eCTD  Abilify MyCite EU RMP  update  v12  Seq 1002  Special Character missing in TOCs  INC0388432,Service Desk - Non Sales
SAP ACCESS for RF111921 Ivan Rozhenkov RU373350 Andrey Puhov,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FW INC0352382  FW Password Reset,Service Desk - Non Sales
Change NameAdress Cross dock XC,G SNOW IT SERVICE DESK
GR  VPN Access,G SNOW GR SERVICE DESK
iPad possibly being returned ,Service Desk - Non Sales
Fwd Treat NOW Certification Forms,Service Desk - Sales All
RCA for server prsvacp reboot,GBL-WTI-AHS UNIX L1
Sharepoint LE  Labour  Employment Legal team calendar Not Appearing in Outlook,SD_1stL_SD-UC_NSN_ENG_PH
Unable to assign user to a case,SD_1stL_SD-UC_NSN_ENG_PH
IT  Add roles for SAP IDM monitoring and reports to Antonia Cammarano,G SNOW IT SERVICE DESK
Active Directory FMO PWC usage error,SD_1stL_SD-UC_NSN_ENG_PH
DHLIndonesia Message failure,PZC-FJ-ServiceDesk
Facing Issue in access of Share drive  Anmol Sahni 11774945 and Navneet Kaur  ,SD_UC_CoCare_NSN_GL
HQX01283 SAP Access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Apple acces  code needed,Service Desk - Non Sales
Offboarding for Michael G  Commercialxlsm,Service Desk - GAM
Reset IPAD user received ipad with data  reset ,Service Desk - Non Sales
Please adjust automount for user accounts from home to home2 on SSH DMZ servers AMRSOML545 AMRSOML544 EMAEDCL188,GBL-WTI-AHS UNIX L1
Win10 1809 tried windows10 1809 upgrade 3 times no success,SD_1stL_SD-UC_NSN_ENG_PH
Please provide access for EUREXQ02470 and EUREXQ02466 to server RPWEYE04 IP1022536197,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Request completed but still not available RITM2441676,SD_1stL_SD-UC_NSN_ENG_PH
Missing Data in vwServicesCHLegacyCaseDetail,SD_1stL_SD-UC_NSN_ENG_PH
SHC  1003193581 line item 2 didnt move to next level of approval and come back to PSSC queu,SD_UC_CoCare_NSN_GL
2020 HPWC PwC audit access  3 auditors,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Jabber Login  unable to loginincorrect username or password,SD_1stL_SD-UC_NSN_ENG_PH
unable to send email ,Service Desk - Sales All
HCP not showing up Veeva,Service Desk - Sales All
CY  SSF Access ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Request for SAP P10 account,SD_UC_CoCare_NSN_GL
amrdrml464pfizercom Down Linux,GBL-WTI-AHS UNIX L1
Aakash SaxenaCW  Domain Account disabled due to not logging into the Otsuka network within the last 15 days,Service Desk - Non Sales
US  Excel  Configuring your computer for Information Rights Management,SD_1stL_SD-UC_NSN_ENG_PH
Replication Status  Unble to login to Concur,SD_1stL_SD-UC_NSN_ENG_PH
issues with itunes ,Service Desk - Non Sales
FRONT access for user BS002136,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
LT300373 access roles,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
add email address supplier YUVALIM 5269915,I-Buy Process Support
RO  Temporary roles needed for Inventory,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
doors do not work agail,SD_1stL_SD-UC_NSN_ENG_PH
Authorize BY060466 in Q system,G SNOW RU SERVICE DESK
cannot perform costing run,PZC-FJ-ServiceDesk
Add users ASQ00682 and ASQ00683 in group G SNOW EXT ATOS ASSESS FI,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
emarinw019emeapfizercom cpqSmSelfTestError Intel,GBL-WTI-AHS WINTEL L1
Log in issues for account yanatodoranova,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
NDPNDP Notification  Project Site  Deliverable list  SPO  Exception,SD_UC_CoCare_NSN_GL
Payment failed invoice reference nr  SW201900973,I-Buy Process Support
SNMPAgentasptokw003apacpfizercom NotResponding Intel,GBL-WTI-AHS WINTEL L1
Reset AD QA Admin account,SD_UC_CoCare_NSN_GL
BSO  Reset 2FA,G SNOW EXT ATOS IS MAILING ADMINS
DP Issue Failures for AMER5a  BS amrdrml059  CT hquz5001qc,GBL-WTI-AHS UNIX L1
I cant seem to access the P drive as i normally would  Please grant me access to important files there,Service Desk - Non Sales
I would like to move all new FCCS reports to the same folder where the FA PampL is,PZC-FJ-ServiceDesk
Delete access from users,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Grant email access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SAP ACCESS for RU320010  Natalya Shapareva,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Follow up needed for EMException SUKMEDAFFSMARTS CMDB Discovery Error SNMP Agent Does Not Respond,GBL-WTI-AHS WINTEL L1
intnshwbp0001pfizercom cpqSmSelfTestError Intel,GBL-WTI-AHS WINTEL L1
Course locked in eLearn,Service Desk - Non Sales
RE Priority 4 INC0369348 has been assigned to you    ServiceNow Add to TV Support group,Service Desk - Non Sales
Jabber Phone services   Jabber voice doesnt work with the SIP password,SD_UC_CoCare_NSN_GL
PR12274 raised for AZ80for Telia Data but Telia Data should not be available for AZ80,I-Buy Process Support
Recover access of user BS001781,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SAP access for GR users ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Access to the US servers is denied with password required,SD_UC_CoCare_NSN_GL
Urgent S drive is not available,Service Desk - Non Sales
Unable to access SAP in Citrix,SD_UC_CoCare_NSN_GL
checking system cant login to onedrive,Service Desk - Non Sales
amrdrms034ldom05pfizercom ProcessThe lockd Process has Stopped  Escalate ASAP Guest LDOM,GBL-WTI-AHS UNIX L1
GTMT production asset report is not working,SD_1stL_SD-UC_NSN_ENG_PH
ShC 1003197541  Problem with approver,SD_UC_CoCare_NSN_GL
Adobe Reader install completed,Service Desk - Non Sales
BSO  Access to Shared Folders,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
change status inv ESPJA00841  and 2503095802,I-Buy Process Support
keyboard not working on ipad ,Service Desk - Non Sales
Zhang Li Ys reportline is not correct in outlook Incident 200428000491,SD_UC_CoCare_NSN_GL
FW Adobe Acrobat PRO request,Service Desk - GAM
Gyanendra GiriCW domain account disabled due to not logging into the network within the last 15 days,Service Desk - Non Sales
SOFTWARE FMO Win10  No Audio,SD_1stL_SD-UC_NSN_ENG_PH
amrndhs345pfizercom ProcessThe vxrelocd Process has Stopped  Escalate ASAP Solaris Zone Host,GBL-WTI-AHS UNIX L1
Windows 10 SOFTWARE FMO Win10 Network Sharing Disabled,SD_1stL_SD-UC_NSN_ENG_PH
I cannot print documents,Deskside Carnegie
reconnect printer to laptop ,Service Desk - Non Sales
SAP  BI new user re  8000004600  CA348582330 ,PZC-FJ-ServiceDesk
IT  Blacklist domain  Ref INC0851003,G SNOW IT SERVICE DESK
 SITE  Unable to generate order preview ODM,SD_1stL_SD-UC_NSN_ENG_PH
CRONOS MM  Main Module not working,SD_1stL_SD-UC_NSN_ENG_PH
Please add domain mediacomcom to the white list,G SNOW EXT ATOS IS MAILING ADMINS
IT  Check if 4 accounts can be deleted,G SNOW IT SERVICE DESK
IR30423808749 exception wrongly raised,I-Buy Process Support
Unable to Install Microsoft Teams on my remote machine,Service Desk - Non Sales
Users are not able to export orders in Alliance tool,SD_UC_CoCare_NSN_GL
HVD INBA01WHVDP0131 not opening for user wgjq84,SD_UC_CoCare_NSN_GL
Unable to print ,SD_1stL_SD-UC_NSN_ENG_PH
CZ  Assign roles to the user  Jana Kalacova,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Cash Flow Imbalance  CA Investment Mapp,PZC-FJ-ServiceDesk
Please lock sender AndreyDanilovA1Teamru,G SNOW RU SERVICE DESK
Create AD group and add users,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Otsuka Connect  eLearn access on iPad,Service Desk - Non Sales
Cant log in to Comp Portal,Service Desk - Non Sales
Business account CR Advise,Service Desk - Sales All
Add role for RU522401 Lyubov Zhukova,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
